test,dataset,delta_id,cluster_timestamp,iteration,scheduling_latency,algorithm_time,flowsolver_time,total_time
incremental,small_trace,16,1107987404,1,0.001037,0.000552,0.0155165,0.0272459
incremental,small_trace,17,1119442249,1,0.000561,0.000561,0.0152902,0.0358888
incremental,small_trace,18,1119442810,1,0.000963,0.00042,0.0152183,0.024619
incremental,small_trace,19,1135414792,1,0.000448,0.000448,0.0153865,0.0275308
incremental,small_trace,20,1135415240,1,0.000894,0.000554,0.0156596,0.0248008
incremental,small_trace,21,1345888435,1,0.000567,0.000567,0.0157018,0.0727478
incremental,small_trace,22,1372983484,1,0.000559,0.000559,0.0155715,0.034036
incremental,small_trace,23,1372984043,1,0.001307,0.000855,0.0157246,0.0341603
incremental,small_trace,24,1372984898,1,0.001528,0.000771,0.0160967,0.0318025
incremental,small_trace,25,1398938349,1,0.000433,0.000433,0.0151735,0.0551406
incremental,small_trace,26,1398938782,1,0.001023,0.000707,0.0156729,0.032093
incremental,small_trace,27,1398939489,1,0.001389,0.000789,0.0164803,0.0344061
incremental,small_trace,28,1423337461,1,0.000586,0.000586,0.0160702,0.045798
incremental,small_trace,29,1423338047,1,0.001283,0.000712,0.0161974,0.0372082
incremental,small_trace,30,1423338759,1,0.001275,0.000704,0.0162581,0.0349758
incremental,small_trace,31,1423339463,1,0.001745,0.001065,0.0161934,0.0389597
incremental,small_trace,32,1423340528,1,0.001512,0.000534,0.0158827,0.0257743
incremental,small_trace,33,1437048669,1,0.000455,0.000455,0.0159139,0.0681154
incremental,small_trace,34,1437049124,1,0.000792,0.000539,0.0159475,0.0293973
incremental,small_trace,35,1437049663,1,0.001298,0.00076,0.0162939,0.0360385
incremental,small_trace,36,1437050423,1,0.001609,0.000932,0.0165648,0.0376737
incremental,small_trace,37,1437051355,1,0.002304,0.001378,0.0173214,0.0447203
incremental,small_trace,38,1437052733,1,0.001699,0.000429,0.0164047,0.0309817
incremental,small_trace,39,1573781565,1,0.00043,0.00043,0.0162774,0.10407
incremental,small_trace,40,1573781995,1,0.000771,0.000534,0.0165309,0.0292012
incremental,small_trace,41,1585628702,1,0.000578,0.000578,0.0165129,0.0353625
incremental,small_trace,42,1599232156,1,0.000577,0.000577,0.0164505,0.0311843
incremental,small_trace,43,1599232733,1,0.000934,0.000467,0.0163897,0.0369781
incremental,small_trace,44,1599233200,1,0.000738,0.000469,0.0162085,0.0308365
incremental,small_trace,45,1599233669,1,0.001218,0.000798,0.0164864,0.0364943
incremental,small_trace,46,1701549695,1,0.00061,0.00061,0.0159136,0.0693402
incremental,small_trace,47,1701550305,1,0.001127,0.000545,0.0162096,0.0272631
incremental,small_trace,48,1715626104,1,0.00057,0.00057,0.0164793,0.0383972
incremental,small_trace,49,1715626674,1,0.001024,0.000544,0.0167693,0.0292713
incremental,small_trace,50,1760607843,1,0.000583,0.000583,0.0163481,0.076006
incremental,small_trace,51,2018378034,1,0.000433,0.000433,0.01643,0.11555
incremental,small_trace,52,2100114435,1,0.000587,0.000587,0.0165751,0.0558433
incremental,small_trace,53,2100115022,1,0.000845,0.000451,0.0162856,0.0336663
incremental,small_trace,54,2100115473,1,0.000979,0.000591,0.016345,0.0339331
incremental,small_trace,55,2122978330,1,0.000429,0.000429,0.0164462,0.0461113
incremental,small_trace,56,2122978759,1,0.000837,0.000436,0.0164613,0.0311043
incremental,small_trace,57,2135463181,1,0.000581,0.000581,0.0165338,0.0340561
incremental,small_trace,58,2135463762,1,0.00111,0.000675,0.0168494,0.0313561
incremental,small_trace,59,2135464437,1,0.001085,0.000613,0.0167324,0.0300414
